Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,3.1075263023376465,0.37073495984077454,2.3887171745300293,0.38847360014915466
2,2.398341417312622,0.3850337266921997,2.379350185394287,0.38847360014915466
3,2.384605646133423,0.38503366708755493,2.3752541542053223,0.38847360014915466
4,2.3855350017547607,0.3850336968898773,2.384963035583496,0.38847360014915466
5,2.3755154609680176,0.3850337266921997,2.3365588188171387,0.38847360014915466
6,2.297034740447998,0.3854142725467682,2.1645514965057373,0.39088061451911926
7,2.117083787918091,0.41915637254714966,2.0851924419403076,0.43307244777679443
8,2.030646800994873,0.4359382390975952,2.0553600788116455,0.4369863271713257
9,2.002837896347046,0.4386105239391327,2.0047552585601807,0.4328571557998657
10,2.0066325664520264,0.438340961933136,1.9820674657821655,0.4364970922470093
